ID_Venta;Fecha;ID_Producto;ID_Vendedor;Cantidad;Precio_Unitario;Costo_Unitario
VT0274;07/06/2023;P019;V016;9;0.75;0.24
VT0275;21/08/2023;P001;V008;18;1.13;0.74
VT0276;20/06/2024;P025;V045;10;7.32;4.15
VT0277;02/10/2025;P007;V046;29;1.51;0.82
VT0278;30/06/2025;P003;V023;22;1.10;0.64
VT0279;13/05/2023;P018;V046;23;1.63;0.72
VT0280;23/12/2023;P026;V009;26;1.57;0.70
VT0281;29/04/2024;P026;V036;15;1.61;0.72
VT0282;23/09/2023;P020;V047;23;1.25;0.65
VT0283;07/09/2025;P017;V021;5;2.83;1.52
VT0284;01/06/2023;P015;V050;27;3.29;1.84
VT0285;03/02/2026;P021;V004;17;2.24;1.14
VT0286;12/09/2023;P017;V015;23;2.73;1.46
VT0287;09/12/2024;P017;V036;21;3.02;1.63
VT0288;16/07/2024;P005;V011;21;1.30;0.78
VT0289;27/04/2026;P019;V022;20;0.79;0.24
VT0290;28/02/2026;P002;V050;21;0.77;0.86
VT0291;27/03/2026;P009;V002;21;3.83;2.30
VT0292;16/10/2025;P029;V016;16;23.84;14.62
VT0293;11/04/2025;P010;V031;14;1.69;0.92
VT0294;09/08/2025;P007;V047;11;1.36;0.85
VT0295;08/12/2024;P013;V016;11;1.81;0.78
VT0296;13/08/2025;P004;V025;10;4.15;2.48
VT0297;06/05/2025;P008;V037;30;1.41;0.77
VT0298;02/10/2024;P007;V020;16;1.43;0.90
VT0299;15/10/2025;P001;V014;8;1.11;0.67
VT0300;09/04/2026;P012;V042;27;0.99;0.38
VT0301;21/08/2025;P010;V017;29;1.72;0.93
VT0302;19/01/2025;P025;V013;18;6.89;4.24
VT0303;12/01/2025;P018;V018;18;1.51;0.70
VT0304;01/09/2023;P005;V036;11;1.26;0.82
VT0305;18/01/2025;P025;V003;2;7.49;4.08
VT0306;21/03/2023;P005;V039;5;1.34;0.79
VT0307;21/11/2025;P005;V048;20;1.30;0.75
VT0308;04/09/2024;P019;V037;23;0.81;0.25
VT0309;05/09/2024;P016;V038;14;1.91;0.97
VT0310;22/09/2024;P026;V031;20;1.73;0.76
VT0311;27/06/2024;P021;V004;24;2.24;1.17
VT0312;10/04/2026;P016;V025;27;1.98;0.88
VT0313;30/10/2023;P027;V013;4;1.34;0.63
VT0314;08/02/2023;P015;V033;14;3.11;1.79
VT0315;23/08/2025;P028;V014;17;31.77;19.39
VT0316;22/02/2026;P011;V030;6;1.23;0.55
VT0317;27/12/2025;P011;V042;22;1.26;0.52
VT0318;25/06/2024;P020;V015;10;1.42;0.61
VT0319;01/09/2024;P025;V031;11;7.06;4.17
VT0320;15/12/2024;P018;V037;4;1.60;0.76
VT0321;17/01/2026;P013;V010;25;1.82;0.87
VT0322;17/08/2024;P002;V042;15;1.32;0.79
VT0323;09/06/2024;P024;V036;30;6.37;3.88
VT0324;10/07/2024;P005;V043;2;1.33;0.72
VT0325;23/12/2025;P008;V031;23;1.25;0.73
VT0326;25/07/2023;P022;V011;30;2.76;1.60
VT0327;13/04/2025;P021;V049;7;2.27;1.20
VT0328;11/08/2024;P011;V037;21;1.15;0.50
VT0329;20/04/2024;P018;V012;30;0.67;0.74
VT0330;05/05/2025;P029;V026;27;13.55;15.06
VT0331;11/10/2025;P006;V003;29;1.64;0.98
VT0332;19/01/2023;P010;V030;10;1.55;0.93
VT0333;17/01/2026;P017;V018;15;3.05;1.54
VT0334;30/01/2024;P026;V046;9;1.56;0.68
VT0335;17/01/2024;P001;V013;25;1.18;0.74
VT0336;26/12/2023;P020;V021;17;1.41;0.65
VT0337;27/06/2023;P013;V016;11;1.76;0.84
VT0338;14/01/2023;P009;V020;11;3.66;2.22
VT0339;07/04/2026;P024;V004;8;6.43;3.94
VT0340;31/08/2023;P015;V046;29;3.23;1.79
VT0341;28/09/2024;P023;V015;20;8.16;4.35
VT0342;24/03/2024;P005;V027;12;1.27;0.77
VT0343;29/01/2026;P030;V049;7;87.60;56.13
VT0344;21/05/2024;P022;V034;15;3.13;1.59
VT0345;10/01/2025;P003;V033;29;0.97;0.65
VT0346;19/02/2024;P019;V008;15;0.73;0.26
VT0347;25/02/2024;P023;V004;26;7.23;4.67
VT0348;17/07/2025;P005;V044;15;1.27;0.77
VT0349;23/09/2024;P024;V038;7;3.26;3.62
VT0350;30/05/2023;P002;V005;2;1.32;0.81
VT0351;24/08/2025;P002;V047;21;1.22;0.79
VT0352;10/05/2025;P012;V025;30;1.01;0.44
VT0353;08/02/2025;P003;V023;21;1.05;0.63
VT0354;31/08/2023;P006;V001;8;1.51;0.99
VT0355;16/02/2023;P010;V015;13;1.69;0.92
VT0356;21/05/2024;P015;V049;24;3.17;1.80
VT0357;20/08/2023;P002;V002;29;1.27;0.86
VT0358;07/05/2024;P007;V046;22;1.45;0.82
VT0359;10/04/2023;P008;V049;7;1.31;0.74
VT0360;26/04/2023;P005;V037;24;1.24;0.77
VT0361;15/10/2024;P019;V010;10;0.79;0.26
VT0362;03/12/2025;P008;V048;19;1.29;0.71
VT0363;25/12/2023;P021;V042;12;1.04;1.16
VT0364;19/02/2025;P026;V025;10;1.69;0.72
VT0365;12/01/2024;P025;V046;28;7.10;4.33
VT0366;23/10/2023;P026;V036;14;1.53;0.71
VT0367;21/12/2025;P005;V029;3;1.24;0.76
VT0368;29/01/2025;P003;V044;13;1.07;0.62
VT0369;23/05/2026;P020;V047;19;1.25;0.57
VT0370;18/02/2026;P007;V001;30;1.51;0.87
VT0371;09/03/2024;P030;V031;25;90.20;53.82
VT0372;11/05/2024;P023;V021;18;7.36;4.68
VT0373;02/08/2024;P013;V033;12;1.89;0.82
VT0374;15/10/2025;P015;V021;27;3.51;1.74
VT0375;21/02/2024;P012;V010;24;0.96;0.40
VT0376;03/02/2023;P009;V010;10;3.74;2.27
VT0377;06/02/2024;P011;V042;18;1.24;0.49
VT0378;22/11/2024;P009;V032;24;3.68;2.34
VT0379;01/08/2025;P006;V032;18;1.50;0.95
VT0380;12/01/2024;P030;V003;17;93.38;59.59
VT0381;02/06/2023;P027;V041;27;1.49;0.63
VT0382;18/04/2024;P003;V004;12;0.95;0.63
VT0383;16/09/2025;P022;V002;1;2.76;1.53
VT0384;20/12/2025;P024;V045;27;3.39;3.77
VT0385;31/05/2025;P026;V010;17;1.56;0.76
VT0386;08/05/2024;P007;V026;26;1.38;0.89
VT0387;11/06/2023;P012;V015;23;1.02;0.44
VT0388;06/09/2024;P022;V049;21;2.79;1.61
VT0389;06/03/2023;P003;V001;21;1.01;0.61
VT0390;17/12/2023;P003;V007;19;1.02;0.61
VT0391;17/12/2025;P030;V037;29;83.45;52.60
VT0392;31/08/2025;P009;V035;29;3.46;2.11
VT0393;28/02/2026;P022;V038;7;3.16;1.43
VT0394;23/10/2023;P025;V011;10;7.73;4.51
VT0395;28/02/2026;P008;V022;18;1.40;0.72
VT0396;25/02/2025;P025;V033;3;7.69;4.46
VT0397;09/12/2024;P002;V050;20;1.23;0.77
VT0398;04/05/2026;P013;V029;26;1.80;0.88
VT0399;01/10/2025;P008;V038;22;1.42;0.70
VT0400;17/02/2025;P003;V006;3;0.99;0.64
VT0401;02/07/2024;P005;V021;13;1.33;0.76
VT0402;08/01/2025;P004;V018;25;4.58;2.41
VT0403;29/07/2023;P005;V027;17;1.27;0.72
VT0404;31/07/2023;P001;V021;26;1.14;0.67
VT0405;27/02/2025;P001;V036;29;1.11;0.70
VT0406;12/05/2024;P019;V020;9;0.79;0.26
VT0407;03/07/2024;P016;V031;10;1.85;0.87
VT0408;07/06/2023;P012;V040;20;0.99;0.40
VT0409;05/02/2024;P015;V040;11;3.19;1.74
VT0410;17/02/2025;P026;V042;27;1.63;0.76
VT0411;02/05/2026;P005;V021;16;1.30;0.75
VT0412;30/12/2023;P013;V037;16;1.79;0.88
VT0413;11/05/2024;P011;V037;4;1.29;0.50
VT0414;14/02/2024;P019;V047;1;0.73;0.27
VT0415;03/08/2025;P023;V027;3;8.02;4.42
VT0416;19/10/2025;P005;V028;23;1.23;0.78
VT0417;11/02/2025;P003;V033;18;1.04;0.61
VT0418;06/05/2025;P018;V035;26;1.64;0.67
VT0419;01/05/2026;P021;V023;22;2.03;1.20
VT0420;07/12/2023;P021;V026;21;2.17;1.15
VT0421;10/11/2024;P026;V048;17;1.52;0.71
VT0422;28/11/2025;P018;V030;13;1.55;0.73
VT0423;20/04/2026;P023;V019;4;4.15;4.61
VT0424;01/05/2025;P030;V023;5;82.23;60.18
VT0425;30/09/2024;P011;V007;16;1.18;0.51
VT0426;16/06/2025;P024;V046;26;6.49;4.01
VT0427;24/08/2023;P001;V048;6;1.15;0.75
VT0428;14/05/2024;P017;V015;15;2.73;1.46
VT0429;09/04/2025;P021;V048;1;2.20;1.08
VT0430;09/02/2024;P015;V018;7;3.23;1.87
VT0431;09/05/2023;P019;V013;11;0.81;0.24
VT0432;26/07/2025;P004;V021;21;4.53;2.47
VT0433;07/05/2026;P013;V030;28;1.87;0.83
VT0434;20/12/2023;P027;V006;19;1.50;0.63
VT0435;02/10/2023;P011;V010;23;1.19;0.48
VT0436;12/11/2025;P013;V032;6;1.75;0.81
VT0437;05/01/2026;P023;V032;6;8.17;4.90
VT0438;14/08/2024;P005;V023;28;1.35;0.73
VT0439;20/01/2023;P016;V042;17;2.04;0.87
VT0440;10/10/2025;P014;V011;16;1.11;0.47
VT0441;19/06/2023;P019;V015;9;0.80;0.24
VT0442;06/01/2026;P010;V032;25;1.63;0.88
VT0443;30/01/2026;P017;V024;27;2.71;1.45
VT0444;15/01/2026;P027;V028;7;1.49;0.64
VT0445;29/07/2023;P024;V029;2;6.91;4.08
VT0446;22/06/2024;P012;V050;4;0.96;0.43
VT0447;30/04/2024;P007;V040;23;1.45;0.91
VT0448;26/05/2025;P006;V004;26;1.60;0.94
VT0449;13/03/2026;P012;V019;23;1.04;0.41
VT0450;15/08/2024;P019;V007;22;0.81;0.25
VT0451;05/10/2023;P025;V042;28;7.83;4.48
VT0452;17/09/2023;P023;V016;27;7.41;4.86
VT0453;15/03/2025;P016;V029;13;1.99;0.87
VT0454;04/06/2023;P021;V018;24;2.24;1.18
VT0455;25/01/2025;P015;V047;25;1.77;1.97
VT0456;10/07/2023;P024;V005;28;6.79;4.16
VT0457;30/12/2025;P013;V021;9;1.83;0.79
VT0458;03/08/2024;P011;V022;26;1.16;0.52
VT0459;10/04/2023;P002;V011;4;1.33;0.77
VT0460;22/06/2025;P015;V009;23;3.50;1.71
VT0461;10/09/2024;P006;V017;12;1.62;0.97
VT0462;18/06/2023;P012;V020;21;1.05;0.42
VT0463;24/04/2024;P014;V005;16;0.42;0.47
VT0464;29/09/2023;P019;V022;23;0.23;0.25
VT0465;04/09/2023;P028;V006;13;29.09;18.24
VT0466;29/07/2023;P004;V049;25;4.55;2.49
VT0467;30/09/2023;P021;V040;1;2.04;1.21
VT0468;03/12/2023;P015;V027;30;3.14;1.80
VT0469;25/06/2025;P028;V038;4;32.53;17.69
VT0470;25/02/2025;P012;V042;9;1.00;0.44
VT0471;22/06/2023;P008;V045;25;1.35;0.72
VT0472;24/02/2023;P028;V033;20;32.44;19.39
VT0473;22/01/2024;P024;V016;26;6.81;3.83
VT0474;10/10/2025;P013;V001;17;1.84;0.77
VT0475;09/01/2025;P030;V024;14;85.68;54.86
VT0476;23/01/2026;P022;V002;3;2.96;1.46
VT0477;17/04/2026;P003;V026;26;0.98;0.57
VT0478;03/11/2025;P010;V026;23;1.64;0.94
VT0479;18/06/2023;P021;V006;10;2.19;1.13
VT0480;13/11/2025;P030;V038;13;91.05;53.93
VT0481;16/05/2023;P010;V016;2;1.70;0.95
VT0482;26/06/2023;P030;V043;10;86.53;55.83
VT0483;26/12/2023;P004;V023;16;2.14;2.38
VT0484;07/12/2025;P017;V048;5;2.96;1.60
VT0485;04/07/2024;P024;V028;26;3.71;4.12
VT0486;11/07/2024;P017;V032;3;2.96;1.44
VT0487;21/07/2025;P017;V011;12;2.87;1.51
VT0488;06/06/2024;P025;V048;8;7.46;4.05
VT0489;08/11/2025;P001;V024;16;1.19;0.67
VT0490;23/02/2025;P030;V046;18;92.62;53.49
VT0491;08/05/2025;P008;V005;9;1.32;0.70
VT0492;16/03/2026;P012;V034;8;1.05;0.39
VT0493;05/04/2023;P013;V020;28;1.84;0.77
VT0494;01/11/2024;P003;V020;19;0.95;0.62
VT0495;11/05/2024;P015;V013;25;3.51;1.81
VT0496;24/01/2026;P025;V015;1;7.00;4.49
